Feature,Normalized.Dispersion
ENSG00000132881,-0.17251038372863176
ENSG00000037637,0.0011369088398235116
ENSG00000055070,0.42245777639310933
ENSG00000187144,0.06605465730797018
ENSG00000157191,-0.1914253666276626
ENSG00000226029,0.26022460805166114
ENSG00000261135,0.13951965443314282
ENSG00000219481,-1.3305656547463356
ENSG00000058453,-1.4054172111193115
ENSG00000238142,-0.24952078059810434
ENSG00000272426,0.145785038806484
ENSG00000117122,NaN
ENSG00000159363,-0.9165391116615725
ENSG00000117118,-1.2449961558134324
ENSG00000117115,0.33539911702288433
ENSG00000159339,13.697369105161467
ENSG00000276747,NaN
ENSG00000179051,-0.3045526658127164
ENSG00000074964,-0.13325341791409256
ENSG00000009709,NaN
ENSG00000159423,-0.5066718622988905
ENSG00000169991,-0.9124712405557024
ENSG00000272084,-0.5228760956214012
ENSG00000127481,-0.6558220588454063
ENSG00000230424,0.3199910816595136
ENSG00000127463,0.3021522504467974
ENSG00000053372,-1.7736369624858885
ENSG00000162482,-1.075544269317329
ENSG00000053371,-0.8944357842208545
ENSG00000040487,-0.0991359729037135
ENSG00000077549,0.4923023959125934
ENSG00000173436,-0.6973538728073275
ENSG00000158747,1.6426042638951357
ENSG00000158748,-1.413046225705504
ENSG00000162542,-1.1500911649296115
ENSG00000169914,0.07847660734213202
ENSG00000117215,1.6851117499197432
ENSG00000187980,-2.366800888609308
ENSG00000225986,-0.6994640232024075
ENSG00000162543,-1.407357021412446
ENSG00000226664,NaN
ENSG00000162545,-0.2917829338082717
ENSG00000090432,-1.2670171410516364
ENSG00000158825,4.573631733257338
ENSG00000158828,0.3061975157073315
ENSG00000117242,0.8188437492693553
ENSG00000244038,-2.0947287755950486
ENSG00000117245,-4.524606193992199
ENSG00000127483,-0.4820331622211912
ENSG00000075151,3.9234597827480906
ENSG00000287192,NaN
ENSG00000117298,0.7580748953678319
ENSG00000236936,28.506059596313225
ENSG00000231105,0.4499506208556159
ENSG00000142794,-0.3631025537727968
ENSG00000162551,NaN
ENSG00000076864,NaN
ENSG00000090686,0.78617316619068
ENSG00000187942,NaN
ENSG00000142798,-0.7803718194762693
ENSG00000228397,1.0557605139272292
ENSG00000218510,-0.5206462730787812
ENSG00000070831,-1.1637576498488122
ENSG00000285752,-0.7475206317631208
ENSG00000230068,-0.3263556843637998
ENSG00000162552,0.9799044235501354
ENSG00000184677,0.8511907911533804
ENSG00000237200,NaN
ENSG00000173372,28.84937558315206
ENSG00000159189,-0.12123485943262315
ENSG00000173369,12.396727860218569
ENSG00000133216,-1.6983347142615857
ENSG00000004487,-1.6434738694473245
ENSG00000169641,1.31873327645886
ENSG00000261326,-0.3115733058367594
ENSG00000284726,NaN
ENSG00000125944,-0.9355108027677933
ENSG00000125945,-0.10329752462584615
ENSG00000249087,-0.8361589502958082
ENSG00000271420,-0.6319134169965491
ENSG00000204219,-0.69110979332922
ENSG00000088280,NaN
ENSG00000007968,-1.4396656266263597
ENSG00000235052,NaN
ENSG00000117318,15.50688120759007
ENSG00000197880,0.9610836616127959
ENSG00000142676,-1.097285052958453
ENSG00000236810,-0.6755269883410067
ENSG00000011007,-1.8670600315091148
ENSG00000057757,-0.011296823179976033
ENSG00000011009,-1.45018667021001
ENSG00000117308,-1.2869639234559982
ENSG00000117305,0.013072310824380162
ENSG00000179163,-0.3122591251363237
ENSG00000188822,21.085426772587454
ENSG00000232557,NaN
ENSG00000189266,-0.9071118296644107
ENSG00000188529,-0.5688584382910332
ENSG00000185436,-0.198761162907729
ENSG00000001460,-0.41999398647948927
ENSG00000001461,-1.1065558648120186
ENSG00000286061,0.4318693761277239
ENSG00000117602,-0.3610972213743367
ENSG00000264443,-0.9062014551503841
ENSG00000184454,NaN
ENSG00000133226,-1.082168770186975
ENSG00000169504,5.188010088926276
ENSG00000020633,1.4353571217140726
ENSG00000233755,1.3133651327229694
ENSG00000117614,-0.5677787812326702
ENSG00000284602,1.0995297492835134
ENSG00000284657,1.394321871698939
ENSG00000117616,-0.7755051558211392
ENSG00000272432,1.3549577845792578
ENSG00000187010,-0.608418566706048
ENSG00000183726,2.3782346725661783
ENSG00000188672,0.2461882970144327
ENSG00000204178,0.3854888023463028
ENSG00000157978,9.414828478365502
ENSG00000225643,0.007614803486311579
ENSG00000117643,-0.5944722090493708
ENSG00000233478,-0.9150750057328869
ENSG00000162430,-1.6464168875919165
ENSG00000228172,-0.1641457905084551
ENSG00000117640,13.003306829101893
ENSG00000127423,-0.13528497656660268
ENSG00000236528,NaN
ENSG00000182749,-0.655571909483342
ENSG00000117632,1.8340697508903443
ENSG00000158006,1.680342445670663
ENSG00000158014,NaN
ENSG00000158022,NaN
