Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000176022,B3GALT6,0.05906139614177654,-0.20103951870473535,0.7542186788180164,0.07927992561665004,0.5133990253184648,0.23302106534959255,0,-3.425862484287305,0.031749251137535385
ENSG00000184163,C1QTNF12,0.005737392768058292,0.17241887682270995,1,0.005285328374443336,0.1399406297910195,1,0,0.02211911360645402,1
ENSG00000260179,AL162741.1,0.0026999495379097845,-0.24261862245613486,1,0.0031711970246660016,0.5549781290698634,0.9676272095896191,0,0.960718568942311,1
ENSG00000160087,UBE2J2,0.1495097056617543,-0.2691794487272694,0.4936579780410958,0.20401367525351277,0.5078323494439232,0.15443911232161528,0.042063541009968126,-1.7694684925928335,0.15546781836174411
ENSG00000230415,LINC01786,0.0023624558456710617,0.587456376101553,0.8992928698283049,0.0010570656748886671,-0.2750968694878235,0.9387503955123445,0,1.375756068221155,1
ENSG00000162572,SCNN1D,0.0033749369223872307,-0.27504010014851143,1,0.0042282626995546685,0.5873996067622418,0.8166804237081425,0,0.6387904740549493,1
ENSG00000131584,ACAP3,0.045224154759988894,-1.2899243372344915,0.00006305535653631912,0.1257908153117514,1.5128526533971876,0.000003717368131057834,0.024036309148553217,-1.1210755222213362,0.555411710683683
ENSG00000169972,PUSL1,0.02834947014805274,-0.5267146438177583,0.30927666699022516,0.04756795536999003,0.8390741504314878,0.06283194703481813,0,-2.4766867433649873,0.16252886856847845
ENSG00000127054,INTS11,0.14073486966354753,-0.5443882799145081,0.0949783095090264,0.2378397768499501,0.8274056698609678,0.008727664133777051,0.018027231861414913,-2.78299385766448,0.026420369356521648
ENSG00000224051,CPTP,0.0263245079946204,0.033256129151084224,1,0.02642664187221668,0.06779084403518532,1,0.018027231861414913,-0.15475864847762555,1
