Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000157911,PEX10,0.021096412663824993,-0.3300554233435937,0.6197913472527882,0.026182661936970743,0.3300554233435937,0.6197913472527882
ENSG00000149527,PLCH2,0.012606392933261277,3.260689429971568,0.00013340625490600733,0.0006713503060761729,-3.260689429971568,0.00013340625490600733
ENSG00000224387,AL139246.1,0.0002572733251685975,-1.3831667598031565,0.6922717197776316,0.0006713503060761729,1.3831667598031565,0.6922717197776316
ENSG00000157881,PANK4,0.014150032884272863,-0.2762515558866445,0.775314055153733,0.016783757651904322,0.2762515558866445,0.775314055153733
ENSG00000197921,HES5,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000272449,AL139246.5,0.1134575363993515,0.16633106026319622,0.8188687652725638,0.10070254591142594,-0.16633106026319622,0.8188687652725638
ENSG00000238164,TNFRSF14-AS1,0.029071885744051517,1.2797982529192726,0.01691614815482256,0.01141295520329494,-1.2797982529192726,0.01691614815482256
ENSG00000157873,TNFRSF14,0.33574168934501974,-0.24411587280272906,0.5166365442043168,0.3974393811970944,0.24411587280272906,0.5166365442043168
ENSG00000228037,AL139246.3,0.0061745598040463395,3.260689429971568,0.0128970203823176,0,-3.260689429971568,0.0128970203823176
ENSG00000157870,PRXL2B,0.019038226062476214,-0.3638014349362253,0.5787978329892634,0.024168611018742226,0.3638014349362253,0.5787978329892634
ENSG00000142606,MMEL1,0.004888193178203352,-1.584800620972807,0.008274793393219952,0.014769706733675805,1.584800620972807,0.008274793393219952
ENSG00000215912,TTC34,0.007718199755057925,0.9860670498625623,0.2616952677327164,0.003356751530380865,-0.9860670498625623,0.2616952677327164
ENSG00000130762,ARHGEF16,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000162591,MEGF6,0.029071885744051517,1.2797982529192726,0.013239559862755615,0.01141295520329494,-1.2797982529192726,0.013239559862755615
ENSG00000238260,AL513320.1,0.0012863666258429874,1.2017957409179996,0.5496847687492288,0,-1.2017957409179996,0.5496847687492288
ENSG00000158109,TPRG1L,0.06740561119417254,-0.3215276940107703,0.46201118014930925,0.08391878825952162,0.3215276940107703,0.46201118014930925
ENSG00000116213,WRAP73,0.051969211684056695,-0.4592978290191265,0.25847313111258974,0.07116313244407434,0.4592978290191265,0.25847313111258974
ENSG00000078900,TP73,0.000514546650337195,0.20179574091799957,1,0,-0.20179574091799957,1
ENSG00000162592,CCDC27,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000235169,SMIM1,0.015693672835284448,0.7636746285261147,0.4193177552774893,0.008727553978990249,-0.7636746285261147,0.4193177552774893
ENSG00000130764,LRRC47,0.048367385131696326,-1.0877108762769847,0.0006487943367319655,0.10271659682965446,1.0877108762769847,0.0006487943367319655
ENSG00000272153,AL365330.1,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000116198,CEP104,0.06766288451934115,-0.4048618309024752,0.31128833958995017,0.089289590708131,0.4048618309024752,0.31128833958995017
ENSG00000169598,DFFB,0.02161095931416219,0.6339067535557854,0.2960520412226535,0.01342700612152346,-0.6339067535557854,0.2960520412226535
ENSG00000198912,C1orf174,0.05685740486226005,-0.9896303297352342,0.002489866969324439,0.11278685142079706,0.9896303297352342,0.002489866969324439
ENSG00000236423,LINC01134,0.0012863666258429874,0.20179574091799957,1,0.0006713503060761729,-0.20179574091799957,1
ENSG00000284703,AL805961.1,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000196581,AJAP1,0.00205818660134878,1.7867582416391556,0.2665461551916955,0,-1.7867582416391556,0.2665461551916955
ENSG00000287586,Z98886.1,0.000514546650337195,0.20179574091799957,1,0,-0.20179574091799957,1
ENSG00000236948,AL365255.1,0.0007718199755057924,0.6168332401968435,0.7925869119015966,0,-0.6168332401968435,0.7925869119015966
ENSG00000131697,NPHP4,0.007975473080226522,-0.9681292605243126,0.11703159594127784,0.015441057039751977,0.9681292605243126,0.11703159594127784
ENSG00000069424,KCNAB2,0.14999034857329235,-1.503954982582667,0.000000013532677426326298,0.42563609405229363,1.503954982582667,0.000000013532677426326298
ENSG00000116254,CHD5,0.0015436399510115849,1.4241881622544472,0.3928178874557545,0,-1.4241881622544472,0.3928178874557545
ENSG00000116251,RPL22,8.39585769355201,0.5969451887333044,0.06549766806199007,5.5527383815560265,-0.5969451887333044,0.06549766806198769
