Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000236953,ZDHHC20-IT1,0.00027767924916242227,-2.020135781164724,0.23605113544788758,0.002040737596207422,2.4093543801306474,0.16323642703245575,0,1.7285619095357543,1
ENSG00000165487,MICU2,0.12328958662811548,0.15547392523265913,0.804996678179595,0.12992696029187253,0.18053568963476607,0.7114847871531162,0.01638710286663755,-2.6774304501400814,0.004614982368252322
ENSG00000102678,FGF9,0.011107169966496891,4.33741622345336,0.000007271590735335926,0,-3.9481976244874355,0.00012855700098362218,0,-1.3070620001949669,0.6084941000369201
ENSG00000276476,AL136962.1,0.0058312642324108675,2.4392958374725735,0.01502727483315884,0.000680245865402474,-2.050077238506649,0.061717637153989376,0,-0.47307195163389615,1
ENSG00000151835,SACS,0.06525462355316923,0.8625072681971173,0.021499043516321488,0.04285548952035586,-0.47328866923119417,0.3257606939268861,0,-4.173511669774988,0.0012302491501636867
ENSG00000232977,LINC00327,0.0005553584983248445,0.5648267195564323,1,0,-0.17560812059050868,1,0,2.46552750370196,1
ENSG00000227893,LINC00352,0,-2.020135781164724,0.5190982458442098,0,0.4093543801306474,1,0.00327742057332751,5.050490004423119,0.1356102288732653
ENSG00000127863,TNFRSF19,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000027001,MIPEP,0.019992905939694404,1.8477606828279303,0.0007599220582953434,0.006122212788622266,-1.4585420838620076,0.017320110225315148,0,-2.307062000194967,0.14705539041981383
ENSG00000205861,PCOTH,0.0008330377474872668,0.9798642188352762,0.7585551441509863,0,-0.5906456198693526,0.7971348248576705,0,2.050490004423118,1
ENSG00000287530,AL445985.2,0.001110716996649689,0.30179231372263793,1,0.000680245865402474,0.08742628524328566,1,0,1.46552750370196,1
ENSG00000182957,SPATA13,0.20881479537014155,0.36144459100652515,0.35382601003158265,0.1938700716397051,0.006983292687964049,1,0.00983226171998253,-3.969100723934763,0.00007534398316850493
ENSG00000227213,SPATA13-AS1,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000240654,C1QTNF9,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000102699,PARP4,0.1546673417834692,-0.4234914753959331,0.19571371955575065,0.24692924914109807,0.7801579082491137,0.008986856314057693,0.01638710286663755,-3.2116048409470617,0.0006394829587594901
ENSG00000288103,AL359538.4,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000075673,ATP12A,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000151849,CENPJ,0.023047377680481047,0.6717419234729434,0.24771201768728848,0.0156456549042569,-0.4319478738502953,0.5616088100203079,0.00655484114665502,-1.1060144812568726,0.622676621552716
ENSG00000151846,PABPC3,0.0008330377474872668,-2.3420638760520864,0.0163957213091122,0.006122212788622266,2.731282475018009,0.004978242284644186,0,0.35005028628202517,1
ENSG00000139505,MTMR6,0.09218951072192419,-0.9536403693778173,0.0009502176662558565,0.2142774476017793,1.3251178429626154,0.0000036830470051508484,0.00655484114665502,-3.7043974977403504,0.0003982237895385868
ENSG00000260509,AL590787.1,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000139496,NUP58,0.07219660478222979,-0.8930965925755885,0.003123583119237567,0.1598577783695814,1.2476033101340347,0.000029177794242397405,0.00983226171998253,-2.903706305963757,0.004054545703380611
