Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000272455,AL391244.2,0.0019723637613011753,0.5657772477254053,0.8842669405618527,0.0009398194261478648,-0.1912022456998841,1,0,1.203669252105244,1
ENSG00000235098,ANKRD65,0.0003287272935501959,-2.8265401750533554,0.06897376585448493,0.004699097130739324,3.2011151770788766,0.041534924718542816,0,1.3963143300476402,1
ENSG00000179403,VWA1,0,-2.2415776743321985,0.5014878008975067,0.0009398194261478648,2.6161526763577196,0.44693679742587256,0,3.203669252105244,1
ENSG00000215915,ATAD3C,0.005917091283903526,1.4213873383902307,0.22393440870777792,0.0018796388522957295,-1.0468123363647095,0.42922561135668347,0,-0.1886481706735159,1
ENSG00000160072,ATAD3B,0.018737455732361165,-0.08403639734571922,1,0.023495485653696618,0.4586113993712404,0.5119549582866265,0,-2.1713701792416806,0.1991747685958857
ENSG00000197785,ATAD3A,0.03057163830016822,-0.3308450124292861,0.5453604107416555,0.045111332455097505,0.6610069121419802,0.17580619664271177,0.004506623746440509,-1.9460778673994374,0.14726840152999382
ENSG00000205090,TMEM240,0.0009861818806505876,-0.24157767433219846,1,0.0009398194261478648,0.6161526763577196,1,0,1.8817411572178822,1
ENSG00000160075,SSU72,0.6587694962745926,0.2541030973906684,0.5572244721310928,0.653174501172766,0.07895659456729154,0.9300902591724922,0.06759935619660763,-3.1950744398329487,0.0006002923395299679
ENSG00000215014,AL645728.1,0.06180073118743683,0.9631127452707906,0.022641455784265564,0.03759277704591459,-0.5885377432452685,0.26703177804743755,0,-3.6355345359916997,0.007851472631532706
ENSG00000228594,FNDC10,0.01512145550330901,-1.3016986667697692,0.002810391979263572,0.045111332455097505,1.6762736687952913,0.00011376316170864893,0,-2.366186356225703,0.1305114418252412
ENSG00000286989,AL691432.4,0.0009861818806505876,-2.048932596389803,0.07720344844579229,0.005638916556887188,2.4235075984153243,0.03696843060572512,0,0.8817411572178822,1
ENSG00000272106,AL691432.2,0.03878982063892311,0.7952590938481725,0.1035731601253519,0.026314943932140213,-0.42068409182265043,0.5566346830027348,0,-2.9960030927311196,0.0344724617814297
